GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test,jessie.booksmanage.test.service,DeleteServiceImplTest,2,116,2,2,0,21,2,7,0,7
test,jessie.booksmanage.test.service,RecordServiceImplTest2,382,0,4,0,79,0,16,0,14,0
test,jessie.booksmanage.test.service,BorrowServiceImplTest,0,92,0,2,0,20,0,5,0,4
test,jessie.booksmanage.test.service,ReadBeanRecordServiceImplTest,0,92,0,2,0,20,0,6,0,5
test,jessie.booksmanage.test.service,ReturnServiceImplTest,0,122,0,0,0,26,0,5,0,5
test,jessie.booksmanage.test.service,UserServiceImplTest,2,304,2,4,0,54,2,12,0,11
test,jessie.booksmanage.test.service,AdminUserServiceImplTest,0,45,0,0,0,13,0,4,0,4
test,jessie.booksmanage.test.service,BookServiceTest,0,479,0,2,0,81,0,12,0,11
test,jessie.booksmanage.test.service,RecordServiceImplTest,0,701,0,10,0,150,0,23,0,18
test,jessie.booksmanage.utils,SendToJson,59,0,2,0,18,0,3,0,2,0
test,jessie.booksmanage.utils,Check,9,0,0,0,4,0,4,0,4,0
test,jessie.booksmanage.utils,ReadExcel,95,0,6,0,22,0,7,0,4,0
test,jessie.booksmanage.pojo,AdminUser,15,21,0,0,6,10,2,6,2,6
test,jessie.booksmanage.pojo,BorrowRecord,19,47,0,0,7,21,6,13,6,13
test,jessie.booksmanage.pojo,ReadBeanRecord,6,32,0,0,2,14,2,9,2,9
test,jessie.booksmanage.pojo,Book,0,70,0,0,0,30,0,16,0,16
test,jessie.booksmanage.pojo,User,9,97,0,0,3,43,3,25,3,25
test,jessie.booksmanage.test.dao,AdminUserDAOTest,1,61,1,1,0,18,1,6,0,6
test,jessie.booksmanage.test.dao,UserDAOTest,4,423,4,4,0,87,4,13,0,13
test,jessie.booksmanage.test.dao,BorrowListDAOTest,5,283,7,7,0,64,7,15,0,15
test,jessie.booksmanage.test.dao,BookDAOTest,18,643,8,12,3,102,8,19,0,17
test,jessie.booksmanage.test.dao,BorrowListDAOTest2,380,0,2,0,77,0,10,0,9,0
test,jessie.booksmanage.test.dao,ReadBeanDaoTest,0,196,0,0,0,46,0,7,0,7
test,jessie.booksmanage.service.impl,BorrowServiceImpl,6,85,1,1,1,19,1,2,0,2
test,jessie.booksmanage.service.impl,RecordServiceImpl,722,665,55,31,162,150,42,24,10,13
test,jessie.booksmanage.service.impl,ReturnServiceImpl,3,127,0,2,2,29,0,3,0,2
test,jessie.booksmanage.service.impl,ReadBeanRecordServiceImpl,6,95,1,1,1,23,1,3,0,3
test,jessie.booksmanage.service.impl,UserServiceImpl,89,194,2,6,23,47,4,9,2,7
test,jessie.booksmanage.service.impl,DeleteServiceImpl,0,41,0,4,0,11,0,5,0,3
test,jessie.booksmanage.service.impl,AdminUserServiceImpl,0,8,0,0,0,2,0,2,0,2
test,jessie.booksmanage.service.impl,BookServiceImpl,53,249,2,8,13,58,7,9,5,6
test,jessie.booksmanage.test.base,DBUtil,74,57,6,2,32,15,7,2,3,2
test,jessie.booksmanage.test.base,DBInAndOut,103,100,4,4,26,25,7,4,4,3
test,jessie.booksmanage.action,MessagePageAction,65,0,0,0,20,0,6,0,6,0
test,jessie.booksmanage.action,AdminShowMaxNumAction,28,0,0,0,8,0,2,0,2,0
test,jessie.booksmanage.action,AdminMultipleAddBooksAction,67,0,2,0,22,0,11,0,10,0
test,jessie.booksmanage.action,AdminDeleteBooksAction,38,0,2,0,11,0,5,0,4,0
test,jessie.booksmanage.action,AdminLoginAction,117,0,6,0,35,0,12,0,9,0
test,jessie.booksmanage.action,AdminShowAllUsersAction,32,0,0,0,10,0,4,0,4,0
test,jessie.booksmanage.action,UserShowAllBooks,32,0,0,0,10,0,4,0,4,0
test,jessie.booksmanage.action,PersonalCenterPageAction,164,0,4,0,50,0,23,0,21,0
test,jessie.booksmanage.action,AdminLogoutAction,23,0,0,0,7,0,2,0,2,0
test,jessie.booksmanage.action,UserLogoutAction,26,0,0,0,8,0,2,0,2,0
test,jessie.booksmanage.action,UserShowReadBeanRecordAction,41,0,0,0,12,0,4,0,4,0
test,jessie.booksmanage.action,BorrowBooksPageAction,36,0,0,0,11,0,4,0,4,0
test,jessie.booksmanage.action,AdminShowAllBooksAction,32,0,0,0,10,0,4,0,4,0
test,jessie.booksmanage.action,UserShowCurrentRecordsAction,27,0,0,0,9,0,4,0,4,0
test,jessie.booksmanage.action,UserLoginAction,228,0,4,0,57,0,13,0,11,0
test,jessie.booksmanage.action,ShowBookDetailsAction,37,0,0,0,11,0,4,0,4,0
test,jessie.booksmanage.action,SearchBooksAction,57,0,0,0,15,0,6,0,6,0
test,jessie.booksmanage.action,AdminReturnBookAction,56,0,0,0,19,0,10,0,10,0
test,jessie.booksmanage.action,AdminAddBooksAction,78,0,2,0,25,0,13,0,12,0
test,jessie.booksmanage.action,UserRegisterAction,47,0,0,0,15,0,8,0,8,0
test,jessie.booksmanage.action,UserShowHistoryRecordsAction,35,0,0,0,11,0,4,0,4,0
test,jessie.booksmanage.action,AdminManageRecordsAction,89,0,0,0,25,0,7,0,7,0
test,jessie.booksmanage.action,AdminEditBookAction,75,0,0,0,25,0,14,0,14,0
test,jessie.booksmanage.action,AdminDeleteUserAction,38,0,2,0,11,0,5,0,4,0
